url,title,author,date,urldate
https://agents.md/,AGENTS.md,,,2026-03-04
https://agentskills.io/,Agent Skills,Anthropic,,2026-03-12
https://alexeyondata.substack.com/p/how-i-dropped-our-production-database,How I Dropped Our Production Database and Now Pay 10% More for AWS,Alexey Grigorev,2026-03-06,2026-03-16
https://ampcode.com/news,Chronicle,Amp,,2026-03-04
https://ampcode.com/news/walkthrough,Shareable Walkthroughs,Amp,2026-01-29,2026-03-04
https://ampcode.com/notes/200k-tokens-is-plenty,200k Tokens Is Plenty,Amp,2025-12-09,2026-03-04
https://ampcode.com/notes/feedback-loopable,Feedback Loopable,Lewis Metcalf,2026-02-05,2026-03-24
https://ampcode.com/threads/T-019b0c24-7de0-7189-97e2-44121fbbbd9b,Fix modal height with max-height constraint,Thorsten Ball (via Amp),2025-12-11,2026-03-04
https://ampcode.com/threads/T-019c999d-a6a6-73db-8970-4804d16814c4,Building Granola.ai clone macOS desktop app,Marek Kaput (via Amp),2026-02-26,2026-03-04
https://ampcode.com/threads/T-019cafee-1be2-72ab-bcec-28c6d41b753b,Reproduce fuzz crash with test case,Mitchell Hashimoto (via Amp),2026-03-02,2026-03-04
https://ampcode.com/threads/T-d0d0c3c4-4994-4574-9e56-e7f97e88bc33,Implement file mentions in command palette,Nicolay Gerold (via Amp),2025-10-31,2026-03-04
https://ampcode.com/threads/T-f02e59f8-e474-493d-9558-11fddf823672,Tmux control mode protocol documentation,Mitchell Hashimoto (via Amp),2025-12-01,2026-03-04
https://app.devin.ai/review,Devin Review,,,2026-03-05
https://arxiv.org/pdf/2503.01996,One ruler to measure them all: Benchmarking multilingual long-context language models,Alveera Ahsan et al.,2025-03-03,2026-03-31
https://bits.logic.inc/p/ai-is-forcing-us-to-write-good-code,AI Is Forcing Us To Write Good Code,Steve Krenzel,2025-12-29,2026-03-04
https://claude.com/blog/category/claude-code,Claude Code Blog,,,2026-03-04
https://claude.com/chrome,Claude in Chrome,,,2026-03-04
https://claude.com/plugins/playground,Playground Claude Plugin,Anthropic,,2026-03-24
https://claude.com/pricing,Claude Subscription,,,2026-03-04
https://cli.github.com/,GitHub CLI | Take GitHub to the command line,,,2026-03-13
https://cline.bot/blog/post-mortem-unauthorized-cline-cli-npm,Unauthorized Cline CLI npm publish,Saoud Rizwan,2026-02-24,2026-03-16
https://code.claude.com/docs/en/best-practices#write-an-effective-claude-md,Best Practices for Claude Code - Claude Code Docs,Anthropic,,2026-03-04
https://code.claude.com/docs/en/hooks,Hooks reference - Claude Code Docs,Anthropic,,2026-03-13
https://code.claude.com/docs/en/security,Security - Claude Code Docs,Anthropic,,2026-03-16
https://code.claude.com/docs/en/sub-agents,Create custom subagents - Claude Code Docs,Anthropic,,2026-03-13
https://code.claude.com/docs/en/sub-agents#code-reviewer,Create custom subagents - Claude Code Docs,,,2026-03-05
https://coderabbit.ai/,CodeRabbit,,,2026-03-05
https://context7.com/,Context7 - Up-to-date documentation for LLMs and AI code editors,,,2026-03-13
https://cursor.com/blog,Cursor Blog,,,2026-03-04
https://cursor.com/bugbot,Cursor Bugbot,,,2026-03-05
https://cursor.com/docs/agent/browser,Cursor Browser,,,2026-03-04
https://cursor.com/docs/agent/modes#debug,Cursor Debug Mode,,,2026-03-04
https://cursor.com/docs/agent/review,Cursor Review Agent,,,2026-03-04
https://cursor.com/docs/context/rules,Cursor Rules,,,2026-03-04
https://cursor.com/docs/hooks,Hooks Docs,Cursor,,2026-03-13
https://cursor.com/docs/subagents,Cursor Subagents,Cursor,,2026-03-13
https://cursor.com/for/code-review,Reviewing Code with Cursor | Cursor Docs,,,2026-03-05
https://cursor.com/pricing,Cursor Subscription,,,2026-03-04
